epoch,RA,Dec,err_RA,err_Dec
2003.44,-0.041,0.066,0.007,0.007
2005.26,-0.033,-0.002,0.007,0.007
2005.58,0.019,0.033,0.007,0.007
2006.33,-0.015,0.077,0.007,0.007
2007.25,-0.039,0.073,0.007,0.007
2008.46,-0.053,0.045,0.007,0.007
2010.24,-0.017,0.079,0.013,0.013
2013.4,0.006,-0.013,0.007,0.007
2013.66,0.013,0,0.007,0.007
2014.5,-0.024,0.07,0.007,0.007
2015.3,-0.05,0.062,0.007,0.007
2019.3,-0.027,0.073,0.007,0.007
2019.67,-0.044,0.064,0.005,0.005
2019.73,-0.053,0.066,0.007,0.007
2020.42,-0.05,0.05,0.005,0.005
2020.58,-0.05,0.05,0.005,0.005
2021.24,-0.0211,0.00647,0.0005,0.0005
2021.41,0.0029,-0.01176,0.0005,0.0005
2021.47,0.0129,-0.0029,0.0005,0.0005
2021.56,0.0182,0.00941,0.0005,0.0005
